date,pm25,month
2020-01-01,71.0,1
2020-01-02,71.0,1
2020-01-03,71.0,1
2020-01-04,71.0,1
2020-01-05,71.0,1
2020-01-06,71.0,1
2020-01-07,71.0,1
2020-01-08,71.0,1
2020-01-09,71.0,1
2020-01-10,64.0,1
2020-01-11,79.0,1
2020-01-12,63.0,1
2020-01-16,93.0,1
2020-01-17,125.0,1
2020-01-18,94.0,1
2020-01-19,128.0,1
2020-01-20,96.0,1
2020-01-21,62.0,1
2020-01-22,106.0,1
2020-01-23,75.0,1
2020-01-24,91.0,1
2020-01-25,70.0,1
2020-01-26,122.0,1
2020-01-27,71.0,1
2020-01-28,126.0,1
2020-01-29,104.0,1
2020-01-30,55.0,1
2020-01-31,80.0,1
2020-02-01,81.0,2
2020-02-02,100.0,2
2020-02-03,79.0,2
2020-02-04,41.0,2
2020-02-05,70.0,2
2020-02-06,55.0,2
2020-02-07,87.0,2
2020-02-08,87.0,2
2020-02-09,63.0,2
2020-02-10,100.0,2
2020-02-11,113.0,2
2020-02-12,101.0,2
2020-02-13,84.0,2
2020-02-14,92.0,2
2020-02-15,126.0,2
2020-02-16,106.0,2
2020-02-17,76.0,2
2020-02-18,76.0,2
2020-02-19,73.0,2
2020-02-20,76.0,2
2020-02-21,90.0,2
2020-02-22,90.0,2
2020-02-23,82.0,2
2020-02-24,58.0,2
2020-02-25,77.0,2
2020-02-26,65.0,2
2020-02-27,90.0,2
2020-02-28,79.0,2
2020-02-29,131.0,2
2020-03-01,85.0,3
2020-03-02,93.0,3
2020-03-03,56.0,3
2020-03-04,93.0,3
2020-03-05,65.0,3
2020-03-06,92.0,3
2020-03-07,28.0,3
2020-03-09,126.0,3
2020-03-10,68.0,3
2020-03-11,68.0,3
2020-03-12,74.0,3
2020-03-13,89.0,3
2020-03-14,139.0,3
2020-03-15,128.0,3
2020-03-16,112.0,3
2020-03-17,108.0,3
2020-03-18,60.0,3
2020-03-19,112.0,3
2020-03-20,86.0,3
2020-03-21,99.0,3
2020-03-22,56.0,3
2020-03-23,100.0,3
2020-03-24,126.0,3
2020-03-25,76.0,3
2020-03-26,96.0,3
2020-03-27,91.0,3
2020-03-28,135.0,3
2020-03-29,106.0,3
2020-03-30,102.0,3
2020-03-31,107.0,3
2020-04-01,70.0,4
2020-04-02,222.0,4
2020-04-03,58.0,4
2020-04-04,89.0,4
2020-04-05,94.0,4
2020-04-06,81.0,4
2020-04-07,62.0,4
2020-04-08,68.0,4
2020-04-09,64.0,4
2020-04-10,104.0,4
2020-04-11,110.0,4
2020-04-12,120.0,4
2020-04-13,45.0,4
2020-04-14,103.0,4
2020-04-15,69.0,4
2020-04-16,101.0,4
2020-04-17,172.0,4
2020-04-18,86.0,4
2020-04-19,172.0,4
2020-04-20,151.0,4
2020-04-21,86.0,4
2020-04-22,1.0,4
2020-04-23,150.0,4
2020-04-24,102.0,4
2020-04-25,86.0,4
2020-04-26,175.0,4
2020-04-27,86.0,4
2020-04-28,86.0,4
2020-04-29,86.0,4
2020-04-30,86.0,4
2020-05-01,108.0,5
2020-05-02,108.0,5
2020-05-03,108.0,5
2020-05-04,108.0,5
2020-05-05,108.0,5
2020-05-06,108.0,5
2020-05-07,108.0,5
